Date,CH
25.02.2020,0
26.02.2020,5
27.02.2020,4
28.02.2020,10
29.02.2020,12
01.03.2020,7
02.03.2020,16
03.03.2020,15
04.03.2020,30
05.03.2020,46
06.03.2020,73
07.03.2020,63
08.03.2020,48
09.03.2020,92
10.03.2020,154
11.03.2020,236
12.03.2020,319
13.03.2020,335
14.03.2020,408
15.03.2020,303
16.03.2020,793
17.03.2020,767
18.03.2020,1136
19.03.2020,1061
20.03.2020,1212
21.03.2020,945
22.03.2020,531
23.03.2020,1237
24.03.2020,1120
25.03.2020,1129
26.03.2020,1099
27.03.2020,1338
28.03.2020,870
29.03.2020,648
30.03.2020,1028
31.03.2020,975
01.04.2020,1064
02.04.2020,1090
03.04.2020,982
04.04.2020,603
05.04.2020,436
06.04.2020,677
07.04.2020,684
08.04.2020,678
09.04.2020,641
10.04.2020,454
11.04.2020,452
12.04.2020,257
13.04.2020,240
14.04.2020,337
15.04.2020,317
16.04.2020,307
17.04.2020,312
18.04.2020,257
19.04.2020,169
20.04.2020,196
21.04.2020,168
22.04.2020,217
23.04.2020,216
24.04.2020,189
25.04.2020,151
26.04.2020,85
27.04.2020,139
28.04.2020,130
29.04.2020,142
30.04.2020,142
01.05.2020,124
02.05.2020,72
03.05.2020,61
04.05.2020,54
05.05.2020,63
06.05.2020,84
07.05.2020,69
08.05.2020,66
09.05.2020,45
10.05.2020,36
11.05.2020,58
12.05.2020,48
13.05.2020,43
14.05.2020,40
15.05.2020,44
16.05.2020,32
17.05.2020,19
18.05.2020,29
19.05.2020,28
20.05.2020,38
21.05.2020,28
22.05.2020,22
23.05.2020,20
24.05.2020,10
25.05.2020,6
26.05.2020,23
27.05.2020,14
28.05.2020,20
29.05.2020,29
30.05.2020,41
31.05.2020,10
01.06.2020,3
02.06.2020,17
03.06.2020,19
04.06.2020,24
05.06.2020,22
06.06.2020,14
07.06.2020,8
08.06.2020,16
09.06.2020,10
10.06.2020,17
11.06.2020,22
12.06.2020,28
13.06.2020,11
14.06.2020,17
15.06.2020,21
16.06.2020,28
17.06.2020,34
18.06.2020,14
19.06.2020,29
20.06.2020,28
21.06.2020,15
22.06.2020,33
23.06.2020,30
24.06.2020,66
25.06.2020,39
26.06.2020,73
27.06.2020,38
28.06.2020,40
29.06.2020,79
30.06.2020,104
01.07.2020,132
02.07.2020,141
03.07.2020,102
04.07.2020,46
05.07.2020,54
06.07.2020,84
07.07.2020,94
08.07.2020,102
09.07.2020,89
10.07.2020,102
11.07.2020,70
12.07.2020,64
13.07.2020,91
14.07.2020,122
15.07.2020,145
16.07.2020,99
17.07.2020,117
18.07.2020,66
19.07.2020,52
20.07.2020,106
21.07.2020,140
22.07.2020,128
23.07.2020,156
24.07.2020,138
25.07.2020,98
26.07.2020,48
27.07.2020,153
28.07.2020,167
29.07.2020,229
30.07.2020,216
31.07.2020,157
01.08.2020,145
02.08.2020,81
03.08.2020,125
04.08.2020,132
05.08.2020,203
06.08.2020,167
07.08.2020,167
08.08.2020,125
09.08.2020,89
10.08.2020,194
11.08.2020,263
12.08.2020,229
13.08.2020,283
14.08.2020,230
15.08.2020,205
16.08.2020,135
17.08.2020,223
18.08.2020,268
19.08.2020,313
20.08.2020,305
21.08.2020,320
22.08.2020,196
23.08.2020,187
24.08.2020,245
25.08.2020,277
26.08.2020,374
27.08.2020,348
28.08.2020,372
29.08.2020,255
30.08.2020,212
31.08.2020,237
01.09.2020,328
02.09.2020,357
03.09.2020,419
04.09.2020,415
05.09.2020,342
06.09.2020,229
07.09.2020,341
08.09.2020,402
09.09.2020,403
10.09.2020,526
11.09.2020,470
12.09.2020,348
13.09.2020,312
14.09.2020,353
15.09.2020,443
16.09.2020,493
17.09.2020,530
18.09.2020,438
19.09.2020,309
20.09.2020,282
21.09.2020,339
22.09.2020,397
23.09.2020,382
24.09.2020,336
25.09.2020,323
26.09.2020,258
27.09.2020,171
28.09.2020,267
29.09.2020,338
30.09.2020,512
01.10.2020,515
02.10.2020,495
03.10.2020,441
04.10.2020,564
05.10.2020,540
06.10.2020,512
07.10.2020,193
